id,user_posted,name,description,date_posted,photos,videos,url,quoted_post,tagged_users,replies,reposts,likes,views,external_url,hashtags,followers,biography,posts_count,profile_image_link,following,is_verified,quotes,bookmarks,parent_post_details,cleaned_description,hour,day_of_week,engagement_score,engagement_rate,virality_score,num_hashtags,popularity_score
1795704262074507432,KhadimHaqq,Khadim Haqq,"What is he gonna do about it though? Jumped on the train 8 months in, where was this energy when he was locking people up for speaking up against Israel? Every statement he makes depends on how he will be viewed by the growing frustrated Saudis. This man is a disgusting traitor",,[],[],https://x.com/KhadimHaqq/status/1795704262074507432,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""1225234593789423616"",""profile_name"":""Megatron"",""url"":""https://x.com/Megatron_ron""}]",11,27,699,30879.0,Non disponible,[],1607,Student | الله المستعان | Free🇵🇸🏳️🏴,8570,https://pbs.twimg.com/profile_images/1812647454170382336/uRAgtg5h_normal.jpg,178,False,1,6,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"," what is he gonna do about it though? jumped on the train 8 months in, where was this energy when he was locking people up for speaking up against israel? every statement he makes depends on how he will be viewed by the growing frustrated saudis. this man is a disgusting traitor",,,771,0.47947761194029853,0.02496761658031088,0,769.5
1720922514690375706,nida_journo,Nida' Ibrahim,"In a place where every drop of water counts, Israeli forces destroy the main water tank in the north of the Gaza Strip. 97% of water in Gaza is undrinkable but to avoid dehydration some have been forced to drink it..",,[],['https://video.twimg.com/ext_tw_video/1720922479416221696/pu/vid/avc1/848x480/J7jgDzmAfb02bfXs.mp4?tag=12'],https://x.com/nida_journo/status/1720922514690375706,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",Non spécifié,42,1546,1585,146375.0,Non disponible,[],11685,"@AJEnglish Correspondent in the occupied West Bank. I live for stories, I love telling them, I love hearing them.",845,https://pbs.twimg.com/profile_images/1739394415615942657/WEoLMZTb_normal.jpg,567,False,127,61,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"," in a place where every drop of water counts, israeli forces destroy the main water tank in the north of the gaza strip. 97% of water in gaza is undrinkable but to avoid dehydration some have been forced to drink it.",,,4907,0.4199041588225227,0.03352325517844455,0,4740.0
1727113960967885140,Morgayze,Morgayze - Original 𐚁 🍉,May he rest in piss,,['https://pbs.twimg.com/media/F_fw_ijWEAAnJ_Y.jpg'],[],https://x.com/Morgayze/status/1727113960967885140,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""1640915568789188615"",""profile_name"":""Maree Campbell"",""url"":""https://x.com/Campb37345Maree""}]",38,71,1385,97431.0,Non disponible,[],2568,"Wokerati. May I Never Be Perfect. God is a woman named Beyoncé. Sonia Sotomayor, Ketanji B Jackson, Judith Butler, Kristen Bell & Meghan Markle are archangels.",74069,https://pbs.twimg.com/profile_images/1812893425907154944/7zpcJWTM_normal.jpg,5830,False,0,33,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}", may he rest in piss,,,1598,0.6220319190346438,0.016401182363083997,0,1584.0
1800863719293083764,zyyluvs,izy⁷🐳,"i think it’s time we trend the tags again! HYBE, We urge you to separate HYBE and its artists entirely from zionist individuals and zionist products and services that support and/or fund the genocide of Palestinians. #하이브는시오니스트를퇴출하라 #HybeDivestFromZionism",,"['https://pbs.twimg.com/media/GP30ASSbAAA4qLE.jpg', 'https://pbs.twimg.com/media/GP30ASQaoAAK7bt.jpg', 'https://pbs.twimg.com/media/GP30ASPaIAA2-Sm.jpg', 'https://pbs.twimg.com/media/GP30ASQbYAAym58.jpg']",[],https://x.com/zyyluvs/status/1800863719293083764,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",Non spécifié,197,2130,2073,33867.0,Non disponible,"['하이브는시오니스트를퇴출하라', 'HybeDivestFromZionism']",1278,"dream, may your trials end in full bloom🪷#FreePalestine #FreeCongo #FreeSudan.",34053,https://pbs.twimg.com/profile_images/1816804400603758594/4xVq88g6_normal.jpg,781,False,24,59,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"," i think it’s time we trend the tags again! hybe, we urge you to separate hybe and its artists entirely from zionist individuals and zionist products and services that support and/or fund the genocide of palestinians.",,,6613,5.1704456606724,0.1952580607062714,0,6628.5
1799608510902370599,GaryWKinsman,Gary Kinsman,"The same question must be asked of @PrideToronto which has refused to even discuss the call from QUEERS IN PALESTINE. It accepts the support of Banks and governments supporting Genocide, opposes the BDS campaign and relies on the Toronto Police! TODAY: A large and diverse coalition of 70+ pro-Palestine and LGBTQ+ organizations gathered to celebrate pride and demand Boston's Pride for the People adhere to Boycott, Divestment, Sanctions (BDS) and implement a community-based safety plan, rather than relying on BPD.",,[],[],https://x.com/GaryWKinsman/status/1799608510902370599,"{""data_posted"":null,""description"":""TODAY: A large and diverse coalition of 70+ pro-Palestine and LGBTQ+ organizations gathered to celebrate pride and demand Boston's Pride for the People adhere to Boycott, Divestment, Sanctions (BDS) and implement a community-based safety plan, rather than relying on BPD. https://t.co/OfBqggpAiN"",""photos"":null,""post_id"":""1799603108106121726"",""profile_id"":""DSAWorkingMass"",""profile_name"":""Working Mass"",""url"":""https://x.com/DSAWorkingMass/status/1799603108106121726"",""videos"":[""https://video.twimg.com/ext_tw_video/1799603021883543552/pu/vid/avc1/720x1280/N2wtm93y6uzLZRI6.mp4?tag=12""]}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""19557220"",""profile_name"":""Pride Toronto"",""url"":""https://x.com/PrideToronto""}]",8,50,141,7779.0,Non disponible,[],5902,"Queer and Anti-Capitalist Activist, author and researcher",189133,https://pbs.twimg.com/profile_images/494666978984857601/56gLqRUy_normal.jpeg,6146,False,1,5,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"," the same question must be asked of which has refused to even discuss the call from queers in palestine. it accepts the support of banks and governments supporting genocide, opposes the bds campaign and relies on the toronto police! today: a large and diverse coalition of 70+ pro-palestine and lgbtq+ organizations gathered to celebrate pride and demand boston's pride for the people adhere to boycott, divestment, sanctions (bds) and implement a community-based safety plan, rather than relying on bpd.",,,255,0.04319837370828392,0.032776349614395885,0,253.0
1756631725956792349,DEVAN_A1,DEVAN🇵🇸 busy🥹,He didnt reflect on his actions What tweets would you guys put in holostars hall of fame tweets,,['https://pbs.twimg.com/media/GGDPPcxXAAAQiCK.jpg'],[],https://x.com/DEVAN_A1/status/1756631725956792349,"{""data_posted"":null,""description"":""What tweets would you guys put in holostars hall of fame tweets"",""photos"":null,""post_id"":""1756337155495092617"",""profile_id"":""fwnrei"",""profile_name"":""Fenri"",""url"":""https://x.com/fwnrei/status/1756337155495092617"",""videos"":null}",Non spécifié,3,79,324,6007.0,Non disponible,[],887,"main oshi: mayuzumi💻💙& Izuru🎸 niji:cnr ☪️🧷🌊🔔🌸🌙🎻🐼🥷🌙 ♡ krisis🃏🔪♡nprt📖✏️. otome games&shoujo manga. ic @sutoberio ,🇵🇸,(correct my TLs)",84931,https://pbs.twimg.com/profile_images/1820505941055619073/ueynnCNI_normal.png,1128,False,1,10,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}", he didnt reflect on his actions what tweets would you guys put in holostars hall of fame tweets,,,496,0.5585585585585585,0.08255659121171771,0,486.5
1722167007104123092,GhanimHableel,غانم حبليل,"Exhilarating moment at the UAE Government Annual Meetings 2023, sharing the stage with extraordinary #COP28 UAE Negotiators. Our President-Designate @uaeclimateenvoy shared our bold plan for delivering a transformative COP in Dubai later this month. #الاجتماعات_السنوية_لحكومة_الإمارات",,"['https://pbs.twimg.com/media/F-Zdwp4WIAANhk-.jpg', 'https://pbs.twimg.com/media/F-Zdwp-XMAAg7vW.jpg', 'https://pbs.twimg.com/media/F-Zdwp5XQAA2Ag2.jpg']",[],https://x.com/GhanimHableel/status/1722167007104123092,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""1366669496245571584"",""profile_name"":""Office Of The UAE Special Envoy For Climate Change"",""url"":""https://x.com/uaeclimateenvoy""}]",1,1,9,910.0,Non disponible,['COP28'],1105,Artificial Intelligence @ADNOCGroup. @UCSanDiego @Columbia Alum. Vera’s husband. Opinions are my own.,2646,https://pbs.twimg.com/profile_images/1585468891970535425/xbXve_43_normal.jpg,934,False,0,0,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"," exhilarating moment at the uae government annual meetings 2023, sharing the stage with extraordinary uae negotiators. our president-designate shared our bold plan for delivering a transformative cop in dubai later this month.",,,12,0.0108499095840868,0.013172338090010977,0,12.5
1774685471584780544,nashokag3racha,sally,"Well, we had a secret. Or a group of them @Stray_Kids #StrayKids #TommyHilfiger",,['https://pbs.twimg.com/media/GKDzBlTaEAAU9SZ.jpg'],[],https://x.com/nashokag3racha/status/1774685471584780544,"{""data_posted"":null,""description"":""Well, we had a secret. Or a group of them @Stray_Kids \n\n#StrayKids #TommyHilfiger https://t.co/g8YtL0ZxLc"",""photos"":[""https://pbs.twimg.com/media/GKDsUE9WgAAd56i.jpg""],""post_id"":""1774678094290317466"",""profile_id"":""TommyHilfiger"",""profile_name"":""Tommy Hilfiger"",""url"":""https://x.com/TommyHilfiger/status/1774678094290317466"",""videos"":null}",Non spécifié,5,384,770,28671.0,Non disponible,[],870,fan acc| skz and nmixx |akgaes zionists antis dni #freepalestine🍉 stays fuck off,63406,https://pbs.twimg.com/profile_images/1828601067598422021/8QRN7LKK_normal.jpg,982,False,25,18,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"," well, we had a secret. or a group of them",,,1586,1.8208955223880596,0.05531529017857143,0,1545.5
1789067336596459759,VLVLYSIA,#لا_للفرنسة +_+🇵🇸,من الخيانة التدريس بلغة المستعمر و اعتمادها لغة رسمية في الدولة #لا_للفرنسة,,['https://pbs.twimg.com/media/GNQLQreXsAAalor.jpg'],[],https://x.com/VLVLYSIA/status/1789067336596459759,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",Non spécifié,19,94,273,6029.0,Non disponible,['لا_للفرنسة'],182,07/10/2023 🪂,12019,https://pbs.twimg.com/profile_images/1822768423216005121/dFEjxkmG_normal.jpg,493,False,4,6,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}", من الخيانة التدريس بلغة المستعمر و اعتمادها لغة رسمية في الدولة,,,490,2.6775956284153004,0.0812603648424544,0,489.5
1720932564465029376,asambleapueblos,Asamblea Internacional de los Pueblos,¡Millones de personas se movilizan en una muestra de solidaridad con Palestina sin precedentes! Más de 300 ciudades de todo el mundo se han volcado hoy para demostrar su solidaridad con Palestina. #FreePalestine Más información: http:// ipa-aip.org/es/palestina,,['https://pbs.twimg.com/media/F-H6BiLXIAAHXyz.jpg'],[],https://x.com/asambleapueblos/status/1720932564465029376,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}",Non spécifié,5,114,161,5068.0,http://ipa-aip.org/es/palestina,['FreePalestine'],5456,"Somos una articulación de más de 200 organizaciones populares, movimientos sociales, partidos políticos y sindicatos. Somos los pueblos del mundo en lucha.",2702,https://pbs.twimg.com/profile_images/1443709900337651719/A4-OxC3W_normal.jpg,212,False,4,0,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}", ¡millones de personas se movilizan en una muestra de solidaridad con palestina sin precedentes! más de 300 ciudades de todo el mundo se han volcado hoy para demostrar su solidaridad con palestina. más información: ipa-aip.org/es/palestina,,,398,0.07293384643577057,0.07851647267705662,0,396.5
